learner_id,item_id,skill_id,attempt_order,correct,attempted,paper_year,domain,data_status
SIM_0000,SFLA_2019_Q2_iii,KC04,1,0,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2020_Q3a,KC06,2,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q2_iv,KC05,3,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4a,KC08,4,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4b,KC09,5,0,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q2_iv,KC05,6,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2020_Q1c,KC02,7,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q4d,KC09,8,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q4d,KC09,9,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q1a,KC01,10,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q4d,KC09,11,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q4b,KC08,12,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q4c,KC09,13,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2019_Q2_i,KC03,14,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2020_Q1d,KC03,15,0,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4b,KC09,16,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q2_iii,KC04,17,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4c_i,KC08,18,0,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q2_vii,KC05,19,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2020_Q2_v,KC05,20,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2020_Q3b,KC07,21,1,1,2020,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4c_i,KC08,22,0,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4c_i,KC08,23,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q4b,KC09,24,1,1,2019,sfla,SIMULATED
SIM_0000,SFLA_2019_Q1a_i,KC01,25,0,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q2_vii,KC05,1,0,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q3b,KC07,2,0,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q4a,KC08,3,1,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2020_Q4a,KC08,4,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2020_Q1c,KC02,5,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2019_Q1a_i,KC01,6,1,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q4c_ii,KC09,7,1,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q2_vi,KC04,8,0,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2019_Q1a_i,KC01,9,1,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2020_Q1b,KC02,10,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2020_Q2_v,KC05,11,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2020_Q1c,KC02,12,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2020_Q2_i,KC03,13,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2019_Q2_v,KC03,14,1,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2020_Q2_vi,KC05,15,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2019_Q2_ii,KC04,16,0,1,2019,sfla,SIMULATED
SIM_0001,SFLA_2020_Q2_ii,KC04,17,1,1,2020,sfla,SIMULATED
SIM_0001,SFLA_2019_Q2_i,KC03,18,1,1,2019,sfla,SIMULATED
