Model,Bin,Mean Predicted Probability,Observed Correctness Rate
BKT,1,0.2506363716162514,0.2374384236453202
BKT,2,0.36469938278297254,0.31158261880540616
BKT,3,0.45774220287564776,0.4074811863656485
BKT,4,0.5595673774314658,0.5242804108608433
BKT,5,0.6497654103257813,0.6249002707404162
BKT,6,0.7444788685021784,0.724062960027177
BKT,7,0.8272194509717816,0.8039829302987198
BKT,8,0.9087075053597758,1.0
DKT,1,0.17497619428059755,0.17796817625458997
DKT,2,0.25133100609234243,0.25029784468753385
DKT,3,0.3543383100558268,0.354894564343578
DKT,4,0.4554424817580159,0.454670032455824
DKT,5,0.5535818319494085,0.5592692942720461
DKT,6,0.6498727947040912,0.6503213680377251
DKT,7,0.7437327821018495,0.7431791500352195
DKT,8,0.8323213747375247,0.8324868870202314
DKT,9,0.9197420446106215,0.9200710479573713
Causal SAKT,1,0.1778335492547902,0.1687041564792176
Causal SAKT,2,0.25003317515580537,0.23970753655793026
Causal SAKT,3,0.355003059168021,0.3505786249149081
Causal SAKT,4,0.45494206886607685,0.44781483055759497
Causal SAKT,5,0.5536101094232964,0.5486600846262342
Causal SAKT,6,0.650610295637703,0.641261519424273
Causal SAKT,7,0.7443894582020044,0.7323082903232773
Causal SAKT,8,0.8306707190343045,0.8246407874890846
Causal SAKT,9,0.9247968667631696,0.9235668789808917
