Dimension,Stratum,Model,Interactions,Learners,Negative Outcomes,Positive Outcomes,Decision Threshold,AUC,PR AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate,AUC 95% CI Lower,AUC 95% CI Upper,Completed Bootstrap Replicates,Overall Common-Subset AUC,AUC Change from Overall,Adequate Sample,Potential Failure Mode,Failure Assessment
Available History Stratum,Cold start (1-5 prior),BKT,14030,2815,7343,6687,0.6714042137375336,0.6224018378156075,0.6076817062572508,0.5885958660014255,0.5759712802413215,0.6440037771482531,0.3059668012561687,0.4148418491484185,0.2494304064206047,0.6915873453097474,0.1540242407735258,0.6940331987438313,0.6130242318171805,0.6310445540301116,200,0.639742445102954,-0.017340607287346432,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Cold start (1-5 prior),DKT,14030,2815,7343,6687,0.5888236165046692,0.6454567789948407,0.6322863892320856,0.5888096935138988,0.5735036023826091,0.6933445661331087,0.2461492448033498,0.3633153073612184,0.23192773081451296,0.6549963745431449,0.09914204003813155,0.7538507551966502,0.6349528961859863,0.6544760944749947,200,0.6803375580920749,-0.034880779097234194,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Cold start (1-5 prior),Causal SAKT,14030,2815,7343,6687,0.5834112763404846,0.6377699419467071,0.6299799575907956,0.5922309337134711,0.5788828649766516,0.6632860040567952,0.2934051144010767,0.40684292379471226,0.2331360144237613,0.6571684408086297,0.1356393844477734,0.7065948855989233,0.6293580370146474,0.6467524482104106,200,0.6762490851625665,-0.038479143215859435,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Early history (6-20 prior),BKT,39787,2892,20784,19003,0.6714042137375336,0.6646508642511249,0.628530572990839,0.5908713901525624,0.5772163782473956,0.6788292426827668,0.2721675524917118,0.38855082262790175,0.2342209240734853,0.6607273050964277,0.1177347959969207,0.7278324475082881,0.6578863599124651,0.6708231537443559,200,0.639742445102954,0.02490841914817088,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Early history (6-20 prior),DKT,39787,2892,20784,19003,0.5888236165046692,0.7045651714690161,0.6745197706686856,0.6335486465428406,0.6253093566685735,0.6791123349801571,0.44124611903383676,0.5349282296650718,0.21771179870387852,0.6246640055091615,0.19062740569668976,0.5587538809661632,0.6987653138601563,0.7105689122824848,200,0.6803375580920749,0.024227613376941237,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Early history (6-20 prior),Causal SAKT,39787,2892,20784,19003,0.5834112763404846,0.7038631569436972,0.672913761742626,0.6326186945484706,0.6242524034534153,0.6792252370055574,0.43735199705309685,0.53209129613624,0.21775127526361338,0.6245580629938581,0.18884719014626636,0.5626480029469031,0.6966500969305865,0.7105786620953851,200,0.6762490851625665,0.027614071781130622,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Developing history (21-50 prior),BKT,40589,2342,17798,22791,0.6714042137375336,0.6229360043782105,0.6604991440207899,0.536031929833206,0.5678184070260068,0.6951207491375062,0.30942038523978765,0.4282244352683993,0.23670196928989792,0.6662536774000883,0.1737835711877739,0.6905796147602123,0.6162391829004956,0.6291951184997715,200,0.639742445102954,-0.016806440724743466,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Developing history (21-50 prior),DKT,40589,2342,17798,22791,0.5888236165046692,0.6912787076557727,0.7237861363248537,0.6341866022814063,0.6354836563615548,0.6933261938373169,0.6249396691676539,0.6573591175520377,0.21850546884335523,0.6269092041328633,0.35397235644454433,0.3750603308323461,0.6854074940566213,0.6975057148004441,200,0.6803375580920749,0.01094114956369785,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Developing history (21-50 prior),Causal SAKT,40589,2342,17798,22791,0.5834112763404846,0.6851009780935198,0.7183612959985155,0.6300968242627313,0.628930761211077,0.6823617689818506,0.6384098986442016,0.6596545314412658,0.2200365070320558,0.6301976386318481,0.3805483762220474,0.36159010135579833,0.6771527060765015,0.6918259848611925,200,0.6762490851625665,0.008851892930953231,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Established history (51-100 prior),BKT,25713,903,9532,16181,0.6714042137375336,0.6028656059391915,0.7111024299563821,0.5077976121028274,0.5649314142522679,0.7316944919153411,0.34398368456832085,0.46796704220615437,0.22594408631933127,0.6433491690585019,0.21412085606378514,0.6560163154316792,0.5933817567630271,0.6134353706890348,200,0.639742445102954,-0.0368768391637625,True,True,POTENTIAL FAILURE MODE
