user_id,interaction_position,skill_id,actual,bkt_probability,dkt_probability,sakt_probability,total_test_interactions,prior_interactions,Available History Stratum,Training Skill Frequency,skill_tag,Skill Frequency Group,bkt_prediction,bkt_correct,dkt_prediction,dkt_correct,causal_sakt_prediction,causal_sakt_correct,probability_range,class_disagreement,large_probability_disagreement,number_of_correct_models,prediction_pattern
2072070822,345,44,1,0.7531041560313563,0.21883558,0.16983248,430,344,Experienced history (101-500 prior),19501,170,Common skill (top 75%),1,True,0,False,0,False,0.5832716730973582,True,True,1,1-0-0
321638899,309,58,1,0.7433534329028283,0.3112148,0.18174697,333,308,Experienced history (101-500 prior),18864,23,Common skill (top 75%),1,True,0,False,0,False,0.5616064583153878,True,True,1,1-0-0
321638899,297,58,0,0.7584481298699047,0.28756204,0.20462836,333,296,Experienced history (101-500 prior),18864,23,Common skill (top 75%),1,False,0,True,0,True,0.5538197666182186,True,True,2,1-0-0
861264695,29,18,1,0.8556822725659542,0.30906513,0.3804904,30,28,Developing history (21-50 prior),173664,131,Common skill (top 75%),1,True,0,False,0,False,0.546617139232748,True,True,1,1-0-0
861264695,30,18,1,0.8589323347882094,0.3614409,0.3206554,30,29,Developing history (21-50 prior),173664,131,Common skill (top 75%),1,True,0,False,0,False,0.5382769292668166,True,True,1,1-0-0
2093246124,459,98,1,0.7739031491777218,0.2846607,0.23736715,472,458,Experienced history (101-500 prior),121320,74,Common skill (top 75%),1,True,0,False,0,False,0.5365359960099972,True,True,1,1-0-0
1715784703,29,18,1,0.855276304258059,0.31930587,0.38046324,30,28,Developing history (21-50 prior),173664,131,Common skill (top 75%),1,True,0,False,0,False,0.5359704373013482,True,True,1,1-0-0
843008204,27,18,1,0.8512839307323223,0.3154273,0.42108703,60,26,Developing history (21-50 prior),173664,131,Common skill (top 75%),1,True,0,False,0,False,0.5358566274181134,True,True,1,1-0-0
2093246124,467,98,0,0.7739403561378978,0.24847464,0.23819895,472,466,Experienced history (101-500 prior),121320,74,Common skill (top 75%),1,False,0,True,0,True,0.5357414052511714,True,True,2,1-0-0
1715784703,30,18,0,0.8586069661919057,0.39177153,0.3238999,30,29,Developing history (21-50 prior),173664,131,Common skill (top 75%),1,False,0,True,0,True,0.5347070712391316,True,True,2,1-0-0
