History Stratum,Model,Test AUC,Evaluated Interactions
Cold Start (2-20),BKT,0.5872814913679824,9280
Cold Start (2-20),DKT,0.5866837219164813,8692
Cold Start (2-20),SAKT,0.5806105687662855,8692
Developing (21-50),BKT,0.6643772186328367,53621
Developing (21-50),DKT,0.6886423739389751,51974
Developing (21-50),SAKT,0.6880067389859893,51974
Established (51-100),BKT,0.6222233648809974,40013
Established (51-100),DKT,0.6467565234125394,39451
Established (51-100),SAKT,0.6383322847303057,39451
Power Users (100+),BKT,0.6182705849865504,879619
Power Users (100+),DKT,0.6168951653688821,119097
Power Users (100+),SAKT,0.6143099317058129,119097
