embedding_dimension,attention_heads,feedforward_dimension,learning_rate,epochs_trained,best_epoch,best_validation_loss,Validation AUC
128,4,128,0.0005,15,13,0.6286900043487549,0.6730046230048476
128,8,64,0.001,15,13,0.6285339593887329,0.6727570075577614
128,4,64,0.001,15,13,0.6286137700080872,0.6726962950464919
128,8,128,0.0005,15,13,0.6288523077964783,0.6726575888121024
128,8,64,0.0005,15,13,0.6286791563034058,0.6725148633698703
128,8,128,0.001,15,13,0.6290603876113892,0.672336614312439
128,4,64,0.0005,15,13,0.6287280917167664,0.6722882645607092
128,4,128,0.001,15,13,0.6290594339370728,0.672278102508796
64,4,64,0.001,15,15,0.6289015412330627,0.6721289105727175
64,8,64,0.001,15,14,0.6288418769836426,0.672045488059076
64,4,64,0.0005,15,14,0.6292883157730103,0.6717331895541236
64,8,64,0.0005,15,14,0.629300594329834,0.6716767404309187
64,4,128,0.0005,15,12,0.6293125748634338,0.6712352279598958
64,8,128,0.0005,15,12,0.6294320225715637,0.6710881533289147
64,8,128,0.001,15,12,0.6295658349990845,0.6709641979855598
64,4,128,0.001,12,9,0.6297663450241089,0.6709345146790848
